molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL4646747,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc([N+](=O)[O-])c1,IC50,'=',48000.0,nM,4.32,CHEMBL4618120
CHEMBL4777788,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2)nc1OCC1CC1,IC50,'=',40.5,nM,7.39,CHEMBL4711085
CHEMBL4761239,CCNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,IC50,'=',45.2,nM,7.34,CHEMBL4711085
CHEMBL1762833,COc1ccc(C2c3c(nc4c(c3N)CCCC4)Oc3ccc4ccccc4c32)cc1OC,IC50,'=',83.0,nM,7.08,CHEMBL4613613
CHEMBL4293305,O=C(O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCNc1c2c(nc3ccccc13)CCCC2,IC50,'=',580.0,nM,6.24,CHEMBL4255631
CHEMBL4292192,CCN(CC)c1ccc(/C=C/c2cc(N3CCCCC3)c3ccccc3n2)cc1,IC50,'=',64100.0,nM,4.19,CHEMBL4263320
CHEMBL5276273,CN(C)CCNC(=O)COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1.Cl,IC50,'=',2750.0,nM,5.56,CHEMBL5254621
CHEMBL4285759,Cc1cccc2c1ccc1c3c(c(=O)oc(=O)c12)[C@@H](C)CO3,IC50,'=',10132.0,nM,4.99,CHEMBL4269805
CHEMBL5195980,O=C(COc1cc(F)ccc1[N+](=O)[O-])NCC1CCN(Cc2ccccc2)CC1,IC50,'=',103.0,nM,6.99,CHEMBL5122937
CHEMBL5175950,O=C(COc1ccc(Cl)cc1)NCC1CCN(Cc2ccccc2)CC1,IC50,'=',1680.0,nM,5.78,CHEMBL5122937
CHEMBL5185868,O=C(COc1ccc(Cl)cc1[N+](=O)[O-])NCCN1CCN(Cc2ccccc2)CC1,IC50,'=',0.8,nM,9.1,CHEMBL5122937
CHEMBL32823,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,IC50,'=',0.4,nM,9.4,CHEMBL2379629
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',420.0,nM,6.38,CHEMBL4681246
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',87.0,nM,7.06,CHEMBL5107917
CHEMBL2332534,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2Cl)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,IC50,'=',13640.0,nM,4.87,CHEMBL2345676
CHEMBL3901082,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,IC50,'=',64200.0,nM,4.19,CHEMBL3862302
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',9.0,nM,8.05,CHEMBL3862302
CHEMBL2332976,O=C1/C(=C/c2cccc([N+](=O)[O-])c2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1cccc([N+](=O)[O-])c1,IC50,'=',5990.0,nM,5.22,CHEMBL2345676
CHEMBL5188111,CCCCCCCNC(=O)Oc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCN2CCCCC2)cc1,IC50,'=',2148.0,nM,5.67,CHEMBL5111262
CHEMBL5188111,CCCCCCCNC(=O)Oc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCN2CCCCC2)cc1,IC50,'=',1995.26,nM,5.7,CHEMBL5111262
CHEMBL456881,O=c1c2ccccc2nc2n1CCC2,IC50,'=',35160.0,nM,4.45,CHEMBL5127036
CHEMBL5181664,c1ccc2c(c1)CCN1Cc3cc(OCCCN4CCCCC4)ccc3N=C21,IC50,'=',216.0,nM,6.67,CHEMBL5127039
CHEMBL3262673,COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCC(c4ccccc4)CC3)cc1)NCC2,IC50,'=',9330.0,nM,5.03,CHEMBL3271120
CHEMBL3237520,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(O)c(F)c2)cc1,IC50,'=',3660.0,nM,5.44,CHEMBL3239772
CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,IC50,'=',8800.0,nM,5.06,CHEMBL5145473
CHEMBL4173258,C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,IC50,'=',530.0,nM,6.28,CHEMBL4329057
