canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCC[n+]1cccc2ccccc21,46231880,502.3,,7.8,0,2,7
[Br-].[Br-].c1ccc(C[n+]2cccc3ccccc32)c(C[n+]2cccc3ccccc32)c1,54587276,522.3,,7.8,0,2,4
CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,10840993,544.7,7.6,77.1,1,6,16
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,3152,379.5,4.3,38.8,0,4,6
O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2F)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,71716371,685.8,3.7,102.0,2,7,3
O=C1/C(=C/c2ccc(Cl)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(Cl)cc1,71716987,612.5,5.8,69.7,1,4,4
Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C(=C\c2ccccc2C)C1=O,71716973,571.7,5.2,69.7,1,4,4
O=C1/C(=C/c2ccccc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1,71718814,543.7,4.5,69.7,1,4,4
C=CC(=O)N1C/C(=C\c2ccc(C)cc2)C(=O)/C(=C/c2ccc(C)cc2)C1,24796898,357.4,4.4,37.4,0,2,3
C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2Cl)C(=O)/C(=C/c2ccc(Cl)cc2Cl)C1,71720637,467.2,6.2,37.4,0,2,3
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,9651,287.35,1.8,41.9,1,4,1
CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1.Cl,118729285,400.9,,40.6,1,3,10
CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1F.Cl,118729295,418.9,,40.6,1,4,10
c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1,10449628,335.4,4.7,41.3,1,4,6
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],8478,448.1,,18.5,0,3,12
CCN(CCCCCCNC1=CC(=O)c2ccccc2C1=O)Cc1ccccc1OC,56925980,420.5,5.2,58.6,1,5,12
COc1ccccc1CNCCCCCCNC1=CC(=O)c2ccccc2C1=O,56926076,392.5,4.3,67.4,2,5,11
NCCCCCCNC1=CC(=O)c2ccccc2C1=O,56926077,272.34,2.3,72.2,2,4,7
[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCOCC[n+]1cccc2ccccc21,54587272,490.2,,17.0,0,3,6
CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)cc3)CC2)nc1-c1ccc(OC)c(OC)c1,162662189,583.7,2.7,149.0,1,11,10
c1ccc2c(c1)Cc1c-2nc2ccccc2c1NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,54577393,526.7,9.0,49.8,2,4,10
Clc1ccc2c(NCCCCCCCOc3ccc(-c4cc5ccccc5o4)cc3)c3c(nc2c1)CCCC3,54769156,539.1,9.7,47.3,1,4,11
Nc1c2c(nc3ccccc13)CCCC2,1935,198.26,2.7,38.9,1,2,0
COc1cc(CCC(=O)NCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,16094859,520.6,4.3,111.0,3,7,12
